店铺id,用户名称,评论,星级,时间
164923519,priless,挺好的，布丁口味可以淡一点。。。,30,1.54E+12
164923519,mandy1229,团购太优惠了啦，绿茶的瓶子好可爱，还也可以循环在用,40,1.53E+12
164923519,蜗牛的蜗居,环境好，网速快，小姐姐很热情，奶茶还可以。值得尝试。,30,1.53E+12
164923519,xiaoai329,多次消費,40,1.54E+12
164923519,匿名用户,很好喝，用美团可以便宜一半了，划算,40,1.54E+12
164923519,Jbz982563641,性价比很高，奶茶很好喝,40,1.53E+12
164923519,匿名用户,味道不错，环境不错，总体不错。。。。。,30,1.53E+12
164923519,fangjenni,喜欢，绿研茶，，杯子可以循环再用。。。嘻嘻嘻嘻why嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻,40,1.53E+12
164923519,samqi40,奶盖变味了，居然说没问题，我也不想解释了,10,1.53E+12
164923519,AzO226202453,不难找，个人比较喜欢喝果茶，喝起来口感还行，就是差点什么～,30,1.53E+12
164923519,我不是阿茵,我喝的是寒天爱玉，还不错，就是服务不太到位，明明说飞冰却给了少冰，纸上也写着去冰，还改了少冰再给我..赶时间所以没有追究,30,1.53E+12
164923519,小璦籽,还不错，服务态度好。。,40,1.53E+12
164923519,无言xxxxxx,上古的太慢啦等啦几分钟没表图案，直接改奶盖茶，味道是可以的,30,1.53E+12
164923519,匿名用户,我比较喜欢喝清淡的茶饮，这家的适合我，小孩子喜欢吃里面的水果,30,1.53E+12
164923519,匿名用户,挺不错的，因为我喜欢喝清淡的茶，比较适合我的口味。,30,1.53E+12
164923519,匿名用户,挺不错，比较喜欢这种清淡的茶饮,30,1.53E+12
164923519,匿名用户,还可以，每次都是招牌妍绿，小朋友喜欢吃里面的水果,30,1.53E+12
164923519,匿名用户,还可以吧，水果味道比较足，在亚运城商场里面,30,1.53E+12
164923519,Mayvey,一般般吧，无功无过，不难喝也不好喝,30,1.52E+12
164923519,dancai5201314,可能我自己口味问题吧，感觉原味奶茶偏甜了点。不喜欢喝偏甜饮料的朋友可注意啦。,20,1.52E+12
164923519,ice7878,不过不失，团购的还算过得去，不过不失，团购的还算过得去,30,1.52E+12
164923519,liheather,用料足，味道不错,40,1.52E+12
164923519,匿名用户,真的特别特别好喝！都喝了好几次了！,40,1.52E+12
164923519,匿名用户,味道很好！很好喝！,40,1.52E+12
164923519,_sina69960409127,点了水果茶，外形跟喜茶相似，可是内容真心不好喝……,20,1.52E+12
164923519,小馒头5377,服务环境都可以，就是味道不怎么好，可能我点的不喜欢喝，新开的店,20,1.52E+12
164923519,xhi762810451,还可以，老板挺关注顾客购物体验,30,1.52E+12
169471658,Mashoue,现在这个店好像关门啦，昨天去的时候换成了别的招牌。,40,1.55E+12
169471658,LiuTing19940215,都是水，冰沙来的，一分钱一分货,20,1.55E+12
169471658,IpS575332969,一般般，正常奶茶味道。。。。，,30,1.55E+12
169471658,活力无限92,答案�️点可怜，抖音迅速捧红后却只热闹了1⃣️阵子，就没什么人再坚守了…� 特别是在上下九1⃣️条街几乎都是各种美食，小吃…奶茶有6.7种，而答案却开了3家……还有鹿角巷也1⃣️样傻……� 拼命的开… 其实我个人觉得答案整体还是可以的，性价比蛮高，� 还是值得推荐下的 #清新乌龙奶盖#,30,1.54E+12
169471658,bCX188803112,10块钱的答案茶，是小杯的很小一杯。但是还可以,20,1.54E+12
169471658,Jerrygu19,來上下九步行街看到一種能占卜的茶，所幸買來喝喝看，點了杯翠玉茉莉奶蓋，之前在時尚天河店開幕時還滿多人排隊的，店裡的裝修滿簡單的，服務員只有3人，點好單後收銀員拿這筆要我在杯身的套子上寫上要占卜的問卦，拿到飲料後發現原來答案在奶蓋上還會先用貼紙遮著，滿新奇的，喝了幾口發現口感一般般，芝士不夠濃郁，茶也沒茶香，純粹只是占卜的噱頭在吸引人吧⋯⋯,20,1.53E+12
169471658,OpN660025273,还行，奶茶不会很甜，珍珠也好吃，刚好就在平安戏院附近，喝个奶茶看个电影也是不错的选择。比较有创意，可以提一下疑问，或者困惑自己的问题，打开奶茶就可以看到答案，说不定也有一些启发喔。美团有团购活动挺优惠的,30,1.54E+12
169471658,慕斯杯里的咖啡,便宜，有点酸，不是很好喝，位置好找,20,1.54E+12
169471658,匿名用户, #茉莉小可爱茶奶#,40,1.54E+12
169471658,chen3252,应该算是网红奶茶店了，之前新店开业在美团做活动，一杯奶盖4块钱，简直不要太实惠了，奶盖很顺滑，有点咸咸的，味道蛮不错的，店铺不小，装修还算挺漂亮的吧，让人惊喜的是，真的每次答案的都不一样，哈哈哈，是有点创意的。,40,1.53E+12
169471658,路人娘995,还可以呢 等的比较久 奶盖挺正宗 草莓的 嗯 和冰冰棒一样 不喜欢,30,1.54E+12
169471658,阿狸好么,看到其他地方还有很多分店来着。这种奶茶店很像我在长沙喜欢喝的茶颜悦色。但是味道。。。。没有那个好，我没有加奶盖没有找到我想要的答案。我觉得可以做一个独一无二的店铺啊，每杯茶都有自己可以提问可以告诉你答案。不给答案的那个就不要出现在牌子上了，除非是顾客不喜欢奶盖就不加。这样不才附和店铺的意义所在吗？奶茶口味一般，顾客大多数是单身女孩子，估计都在找寻自己想要的答案吧，都是一个有故事的人吧,40,1.53E+12
169471658,鸟蛋超人,店铺开在人流很旺的上下九，在第十甫路，照着门牌号很好找。答案茶之前听过很多，不过还是第一次喝。茶饮以占卜为特色，比较新奇，可能在加上新开所以比较多人。点了杯经典乌龙奶盖。等了不久就拿到了，芝士奶盖挺厚的，而且很浓稠，乌龙茶比较甜，挺好喝的。不过不知道为什么其他人的都有答案我这杯没有呢�,40,1.53E+12
169471658,袁大圈,还算不错吧，我特意找的这个店。,30,1.54E+12
169471658,匿名用户,网红奶茶。只是觉得新鲜好玩。口味真的挺一般 【口味】一般般 【环境】好 【服务】好 【等位】还行,30,1.53E+12
169471658,贝壳orshui,还不错，很好看，而且回答很搞笑,40,1.53E+12
169471658,ZHa358060819,挺好的，有意思,40,1.53E+12
169471658,Pqg234049334,奶盖跟一点点的一样是甜的 奶茶不错 就是等的挺久,40,1.53E+12
169471658,zxjnkfq,很新奇，很新颖，有卖点,40,1.53E+12
169471658,HMB538270763,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈辣鸡答案都不教我抽ssr,30,1.53E+12
169471658,lili伍少丽,服务态度很好，味道不错，下次继续支持。,30,1.53E+12
169471658,HorenChan,感觉还可以吧，奶茶口感不错，好喝。,40,1.53E+12
169471658,Bok200196835,选的乌龙 真的是寡淡无味 既没有茶味也没有奶味 大热天的 买杯奶茶居然一点都不治愈 真是心累,20,1.53E+12
169471658,OXX305868702,还可以,40,1.53E+12
169471658,yz9394,非常一般，都是网红炒出来噶，一般般,20,1.53E+12
169471658,匿名用户,一般、不好喝、一般般、真不好喝！,20,1.53E+12
169471658,kang688,去了一次不想去第二次了，味道比不上其他奶茶，还有别相信它会给你答案，我问它我该去哪，它回答明天再来我告诉你，纯属欺骗消费者，我问店员你逗我呢，她笑笑不作答，醉了,10,1.53E+12
169471658,cheney447,有新意，有心意，不过味道一般。,30,1.53E+12
169471658,VQM505651344,没有第一次喝的好，第一次有奶盖，这次没有,20,1.53E+12
169471658,匿名用户,卖的是创意不是奶茶，问题的答案也不满意,40,1.53E+12
169471658,aqK856790855,还不错，小姐姐的服务态度也很好,30,1.53E+12
169471658,yz9394,还是不错，味道也好，只是找不到答案！,40,1.53E+12
169471658,chen648650341,服务周到，甜度适中，还可以接受,30,1.53E+12
169471658,bbT845615554,前台美女好漂亮啊,40,1.53E+12
169471658,MwA665923205,不好喝  也没给我写问题和答案 。。,20,1.53E+12
169471658,晴里夜空,味道和价格有点不匹配，还好其实抢购买的,40,1.53E+12
169471658,XYr699665164,味道还不错，不过少了点浓香味。,30,1.53E+12
169471658,唐莉1028,老板人不错，对我很热心，给个好评吧。,30,1.53E+12
179723846,tbc675322756,还不错，老板很用心,40,1.54E+12
179723846,Htr687148957,不太好喝  点了杯椰果奶茶  椰果吃起来酸酸的  价格摆在这里  给个中评吧,20,1.54E+12
179723846,WjL282055727,这就是所谓的桃香乌龙奶盖，一点茶味都没有，喝白开水那样。,10,1.54E+12
179723846,_weixin321428410,难喝的要死！重点是服务态度超级差！大家千万不要去了！还比客户凶！,10,1.54E+12
179723846,VLr102136282,味道真心不好喝，我和朋友的都没喝完,20,1.54E+12
179723846,yh13265173330,好评，老板娘很热情，奶茶好喝，建议大家去试下,40,1.54E+12
179723846,Zec198354621,满满的味道，大杯,40,1.54E+12
178813840,匿名用户,还不错每次都来这家不错不错不错不错,30,1.55E+12
178813840,匿名用户,刚吃完，肚子疼，还等了20分钟，还没什么生意,10,1.56E+12
178813840,BZI625905626,芋泥得靓，芋泥奶茶得好喝，鸡米花也不错,40,1.55E+12
178813840,yobo丽丽,服务非常好，老板是个大美女！！！！！,30,1.55E+12
178813840,鳳豬豬1024,v防打扰优惠券健健康康空陈v很丰富的,30,1.55E+12
178813840,鳳豬豬1024,一海盗电台冻成狗呼呼吧捶捶背扣扣呢呢,30,1.55E+12
178813840,msG566575594,好味,40,1.55E+12
178813840,wnc427714746,味道还行吧！可以买，不贵好好ヾ ^_^♪,30,1.55E+12
178813840,匿名用户,太甜了一点，，，，，，还差哈哈,30,1.54E+12
178813840,小渣渣ab,味道真的是难喝  【口味】  反正挺难喝的感觉,10,1.54E+12
178813840,FANSBABE,还不错的！美团上买便宜很多！味道算是这样了！！,30,1.54E+12
178813840,Ngu436305074,活动的时候买的！很便宜 现在没有图片了，当时店里漏水了……满地都是水所以店铺环境没怎么注意！但是买的时候确实很便宜 味道也不错……,40,1.54E+12
178813840,匿名用户,超级难喝，第一次喝到这么恶心的芝士莓莓。。心情都不好了。真心的差评,10,1.53E+12
178813840,yobo丽丽,喝完回来就拉肚子，感觉不干净…,20,1.54E+12
178813840,呆瓜彦,【口味】还行吧，觉得不是很好喝,40,1.53E+12
178813840,嗯，再见z,就是味道一般 珍珠口感也不好 还是喝贡茶吧,20,1.53E+12
178813840,ogL159422703,很好，会再回购,40,1.53E+12
178813840,匿名用户,味道还不错，应该是中杯的吧。,40,1.53E+12
178813840,Otv278033852,芝士系列的还可以哦,40,1.53E+12
178813840,匿名用户,味道一般般，还不去十块钱的一点点,20,1.53E+12
178813840,MqQ335568267,奶茶挺好喝的。不错，下次再来��,40,1.53E+12
